date,close,volume,open,high,low
13-03-2018,341.84,5960636,344.92,345.12,336.2635
12-03-2018,345.51,8252919,328.61,347.21,326.5
09-03-2018,327.17,5502779,324.1,328.49,322.37
08-03-2018,329.1,3514367,332.86,333.3,326.274
07-03-2018,332.3,5001940,325.44,332.5,321.74
06-03-2018,328.2,4236483,333.75,336.37,327.03
05-03-2018,333.35,3820702,332.39,337.75,329.2929
02-03-2018,335.12,5088789,326.98,335.22,322.97
01-03-2018,330.93,6872552,345.01,348.67,330.07
28-02-2018,343.06,6066044,352.57,355.24,342.22
27-02-2018,350.99,4785022,356.25,359.99,350.01
26-02-2018,357.42,4334500,353.5,359,352.355
23-02-2018,352.05,5814177,347.83,354.99,347.1
22-02-2018,346.17,6961880,335.53,347.44,334.7501
21-02-2018,333.3,3207250,336.03,339.6929,333.17
20-02-2018,334.77,4005962,334.47,340.84,331.5
16-02-2018,335.49,5640184,332.5,343.12,331.64
15-02-2018,334.065,5909823,324.5,334.12,322.4
14-02-2018,322.31,3948077,320.84,326.17,318.52
13-02-2018,323.66,4554631,315.02,324.19,312.5105
12-02-2018,315.73,6224479,316.13,318.08,306.25
09-02-2018,310.42,12924430,319.93,320.9845,294.76
08-02-2018,315.23,10296420,343.31,348.62,314.6
07-02-2018,345,6729682,338.99,346,335.66
06-02-2018,333.97,5080032,325.21,336.22,323.5
05-02-2018,333.13,4441166,337.97,344.47,333
02-02-2018,343.75,3696157,348.44,351.95,340.51
01-02-2018,349.25,4187440,351,359.66,348.63
31-01-2018,354.31,6199373,347.51,356.19,345.19
30-01-2018,345.82,4710684,345.14,348.27,342.17
29-01-2018,349.53,4738208,339.85,350.85,338.28
26-01-2018,342.85,4535457,341.5,344,335.71
25-01-2018,337.64,6725208,348.27,349.2,336.4
24-01-2018,345.89,5277386,354.58,354.75,343.52
23-01-2018,352.79,5447622,360,360.5,351
22-01-2018,351.56,6199777,349.4,357.83,349.2
19-01-2018,350.02,4871181,345,350.5899,342.6
18-01-2018,344.57,5679629,345.67,352.3,343.74
17-01-2018,347.16,7092554,340.47,349,339.75
16-01-2018,340.06,6429234,337.54,345,334.8
12-01-2018,336.22,4822509,338.63,340.41,333.67
11-01-2018,337.95,6640863,335.24,344.8099,333.26
10-01-2018,334.8,4303053,332.2,337,330
09-01-2018,333.69,7134525,335.16,338.8,327.405
08-01-2018,336.41,9832610,316,337.0199,315.5
05-01-2018,316.58,4588728,316.62,317.24,312
04-01-2018,314.62,9944593,312.87,318.55,305.68
03-01-2018,317.25,4438520,321,325.25,315.55
02-01-2018,320.53,4345615,312,322.1099,311
29-12-2017,311.35,3769504,316.18,316.41,310
28-12-2017,315.36,4306746,311.75,315.82,309.54
27-12-2017,311.64,4705084,316,317.68,310.75
26-12-2017,317.29,4368699,323.83,323.94,316.58
22-12-2017,325.2,4207602,329.51,330.9214,324.82
21-12-2017,331.66,4369994,329.59,333.74,327.21
20-12-2017,328.98,5907378,332.69,333.1,325.04
19-12-2017,331.1,6820868,340.26,341.4925,330.3
18-12-2017,338.87,5466546,344.9,346.73,337.58
15-12-2017,343.45,6921246,342.04,343.9,335.76
14-12-2017,337.89,5792024,341.01,347.44,336.9
13-12-2017,339.03,6217701,340.93,344.22,336.5
12-12-2017,341.03,8715570,330.45,341.44,330.03
11-12-2017,328.91,7926090,314.63,329.01,313.75
08-12-2017,315.13,3466088,314.6,316.98,311.26
07-12-2017,311.24,4779590,312,318.6341,311.05
06-12-2017,313.26,7184477,300.1,313.39,300
05-12-2017,303.7,4643708,302,308,301
04-12-2017,305.2,5834227,306.5,308.265,300.61
01-12-2017,306.53,4286082,305.44,310.32,305.05
30-11-2017,308.85,4345434,308.56,310.7,304.54
29-11-2017,307.54,8757463,317.3,318,301.23
28-11-2017,317.55,4941703,316.36,320,313.92
27-11-2017,316.81,4537779,313.25,317.34,309.51
24-11-2017,315.55,3244065,313.79,316.41,311
22-11-2017,312.6,4913283,316.77,317.42,311.84
21-11-2017,317.81,7256381,310.86,318.23,308.71
20-11-2017,308.74,8241821,313.79,315.5,304.75
17-11-2017,315.05,13720830,325.67,326.67,313.15
16-11-2017,312.5,5794409,313.99,318.14,311.3
15-11-2017,311.3,5951835,306.01,312.49,301.5
